Ранг,Модель,L2 Cache + L3 Cache,TDP (Вт),МГц (норм. - - Turbo),Ядра / потоки,"Потенциал, %",3DMark06 CPU,CB R10 32Bit Single,CB R10 32Bit Multi,Cinebench R11.5 CPU Single 64Bit,CB R11.5 64Bit,Cinebench R15 CPU Single 64Bit,Cinebench R15 CPU Multi 64Bit,wPrime 32,x264 Pass 1,x264 Pass 2
120,Intel Core i7-2920XM,1MB + 8MB,55,2500 ? 3500,4/8,45.3,6131,4378.5,17187.5,,6.01,,,8.44,131.4,30.8
121,Intel Core i5-3470,1MB + 6MB,77,3200 ? 3600,4/4,43.9,6179,5006,17192,1.51,5.57,,,,,
122,Intel Core i7-3615QM,1MB + 6MB,45,2300 ? 3300,4/8,47.1,5574,4436,16980.5,1.34,5.53,,,8.45,137.5,34.42
123,Intel Core i7-3610QM,1MB + 6MB,45,2300 ? 3300,4/8,47.6,6078,4420,17230,1.36,6.2,,,8.72,134.94,34.27
124,AMD FX-8350,8MB + 8MB,125,4000 ? 4200,8/8,44.3,6648,3201,16904,1.1,6.89,97,636,8.34,138.75,43.5
126,Intel Core i5-2500K,1MB + 6MB,95,3300 ? 3700,4/4,46.5,5853,4773,15956,,5.38,122,470,11.67,,
127,Intel Core i5-6600T,1MB + 6MB,35,2700 ? 3500,4/4,50.8,6275.5,5354.5,17622.5,1.57,5.58,138,464.5,10.06,163.89,33.45
128,Intel Core i7-8650U,1MB + 8MB,15,1900,4/8,54.5,6936,6531,21455,2.01,7.24,176,589.5,,171.22,40.5
129,Intel Core i5-6440HQ,1MB + 6MB,45,2600 ? 3500,4/4,51,5997.5,5157,18238.5,1.59,5.85,145,513,11.08,160.5,34.5
131,Intel Core i5-7300HQ,1MB + 6MB,45,2500 ? 3500,4/4,51.1,6292,5436,18158,1.51,5.81,142.5,514,11.14,160.5,34
132,AMD Ryzen 3 1200,2MB + 8MB,65,3100 ? 3400,4/4,47.3,5419,4178,13961,1.53,5.5,135,480,12.5,160,33.34
133,Intel Core i5-4460,1MB + 6MB,84,3200 ? 3400,4/4,49.8,6350,4813,17098,1.52,5.46,136,496,11.47,164.64,33.59
134,Intel Core i7-3632QM,1MB + 6MB,35,2200 ? 3200,4/8,44.7,5681,4293.5,16117,1.32,5.82,113,521,9.86,125.39,31.89
135,Intel Core i5-6350HQ,1MB + 6MB,45,2300 ? 3200,4/4,,,,,,,,,,,
136,Intel Core i7-8550U,1MB + 8MB,15,1800 ? 4000,4/8,54.5,6670.5,6426,16836.5,1.81,6.06,167,555.5,10.28,146.22,33.15
137,AMD Ryzen 7 2700U,2MB + 4MB,15,2200,4/8,52.9,,,,,,144,719,,,
Ранг,Модель,L2 Cache + L3 Cache,TDP (Вт),МГц (норм. - - Turbo),Ядра / потоки,"Потенциал, %",3DMark06 CPU,CB R10 32Bit Single,CB R10 32Bit Multi,Cinebench R11.5 CPU Single 64Bit,CB R11.5 64Bit,Cinebench R15 CPU Single 64Bit,Cinebench R15 CPU Multi 64Bit,wPrime 32,x264 Pass 1,x264 Pass 2
138,Intel Core i5-6300HQ,1MB + 6MB,45,2300 ? 3200,4/4,48,5750,4851,16532.5,1.48,5.34,131,466,12.25,151.02,31.15
139,Intel Core i5-4430,1MB + 6MB,84,3000 ? 3200,4/4,42.7,,,,,,127,463,,,
140,Intel Core i7-2760QM,1MB + 6MB,45,2400 ? 3500,4/8,44.2,6000.5,4474,16211,,5.63,,,8.24,120.4,28
141,Intel Core i5-7287U,512KB + 4MB,28,3300 ? 3700,2/4,,,,,,,,,,,
142,Intel Core i7-7560U,512KB + 4MB,15,2400 ? 3800,2/4,46.3,,,,,,153,336,,,
143,Intel Core i5-8350U,1MB + 6MB,15,1700 ? 3600,4/8,49.6,,,,,,151,501,,,
145,Intel Core i5-7500T,1MB + 6MB,91,2700 ? 3300,4/4,49.9,,5002,13614,1.48,5.86,129,512,10.53,,
146,Intel Core i5-6500T,1MB + 6MB,35,2500 ? 3100,4/4,48,5832,4880,16462,1.45,5.36,128,466,11.56,153.49,32.32
147,Intel Core i5-2400,1MB + 6MB,95,3100 ? 3400,4/4,44.3,5715,4425,15344,,5.09,,,11.7,137,26.7
150,Intel Core i7-2820QM,1MB + 8MB,45,2300 ? 3400,4/8,46.7,5818.5,4249.5,15043.5,,5.48,,,10,,
151,Intel Core i7-3612QM,1MB + 6MB,35,2100 ? 3100,4/8,44.7,5466,4112.5,15678,1.27,5.62,,,9.58,123.76,31.1
152,Intel Core i5-8250U,1MB + 6MB,15,1600 ? 3400,4/8,50.6,6063.5,5541,17444,1.65,5.85,144,543,8.06,136.7,32
153,Intel Core i7-2720QM,1MB + 6MB,45,2200 ? 3300,4/8,46,5616,4167,14852,,5.29,,,13.12,,
154,Intel Core i7-2675QM,1MB + 6MB,45,2200 ? 3100,4/8,,,,,,,,,,,
155,Intel Core i7-2670QM,1MB + 6MB,45,2200 ? 3100,4/8,41.4,5400.5,3899.5,14842.5,,5.19,,,10.56,115.11,26.5
156,Intel Core i5-6400T,1MB + 6MB,35,2200 ? 2800,4/4,44.4,5161,4397,14798,1.35,4.82,119,420,12.88,139.2,28.07
157,Intel Core i7-6567U,512KB + 4MB,28,3300 ? 3600,2/4,47.5,,5506,12475,1.63,4.02,142,364,13.33,128.8,24.1
158,AMD Ryzen 5 2500U,2MB + 4MB,15,2000 ? 3600,4/8,49.8,,4103,14400,1.53,6.46,136.5,581.5,7.82,,
159,Intel Core i5-7360U,512KB + 4MB,15,2300 ? 3600,2/4,47.7,,5787,12293,1.7,3.9,142.5,354,14.8,121.1,22.1
160,Intel Core i5-7267U,512KB + 4MB,28,3100 ? 3500,2/4,44.4,4378,5010,11403,1.54,4.09,141,383,15.6,119.4,21.9
